# Accepted findings on corpus-constructs/. The fixtures carry no seeded defects, so a row here is
# either a true finding on a fixture written to carry the construct the rule reads — RESTART= on a
# JOB card, a step that allocates none of its program's DDs — or a false positive judged not worth
# changing the rule for. "*" in place of file:line accepts every finding of that rule.
# RuleEvaluationReportTest fails on a finding missing from this file and on a row that no longer
# fires.
#
# A reason that opens "rule limit:" marks a finding the rule should not have made: the fixture is
# valid code with no construction reason behind the hit, so the row is a candidate rule fix. Every
# other reason says for itself which of the two kinds its row is.
ruleId	file:line	reason
R039	sql/CSQ206.cbl:44	rule limit: CSR-UR is closed at line 49, before the COMMIT of the termination paragraph at line 102; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ208.cbl:92	rule limit: C2 is closed at line 97, before the COMMIT of the termination paragraph at line 113; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ302.cbl:90	rule limit: CSR-HINMOKU is closed at line 99, and line 151 is the ROLLBACK of 9900-SQL-ERROR; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R039	sql/CSQ306.cbl:112	rule limit: C2 is closed at line 134, and line 155 is the ROLLBACK of 9900-SQL-ERROR; the forward walk from the OPEN crosses the CFG's paragraph fall-through and reaches a synchronisation point no real path reaches before the CLOSE.
R048	sql/CSQ305.cbl:43	rule limit: CSQDB.SHUKEI1 is the Db2 stored procedure the fixture calls with EXEC SQL CALL, and a procedure lives in the Db2 catalogue, so the linker should not make a PROGRAM node of a schema-qualified CALL target.
R048	sql/CSQ504.cbl:71	rule limit: CBLTDLI is the IMS DL/I language interface module, which is linked in from the IMS libraries and never exists as source; the linker's utilities list carries no language-interface stub.
R052	cobol/CCP001.cbl:14	CJ302's STEP010.OUTSTEP runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither INFILE nor the program's other data DD.
R052	cobol/CCP001.cbl:17	CJ302's STEP010.OUTSTEP runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither OUTFILE nor the program's other data DD.
R052	cobol/CCP002.cbl:14	CJ302's STEP010.CALLSTEP.INSTEP runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither INFILE nor the program's other data DD.
R052	cobol/CCP002.cbl:17	CJ302's STEP010.CALLSTEP.INSTEP runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither OUTFILE nor the program's other data DD.
R052	cobol/CCP003.cbl:14	CJ302's STEP020 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither INFILE nor the program's other data DD.
R052	cobol/CCP003.cbl:17	CJ302's STEP020 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither OUTFILE nor the program's other data DD.
R052	cobol/CCP004.cbl:14	CJ304's STEP010.STEP2 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither INFILE nor the program's other data DD.
R052	cobol/CCP004.cbl:17	CJ304's STEP010.STEP2 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither OUTFILE nor the program's other data DD.
R052	cobol/CCP005.cbl:14	CJ305's STEP010.STEP1 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither INFILE nor the program's other data DD.
R052	cobol/CCP005.cbl:17	CJ305's STEP010.STEP1 runs this stub with a library and a SYSOUT DD and nothing else: the PROC fixtures are written to exercise PROC mechanics rather than to be run, so the step allocates neither OUTFILE nor the program's other data DD.
R053	jcl/CJ103.jcl:1	RESTART=STEP2 is the point of CJ103, which exists to carry the JOB statement's RESTART parameter.
R053	jcl/CJ104.jcl:1	TYPRUN=SCAN is the point of CJ104, which exists to carry the JOB statement's TYPRUN parameter.
R053	jcl/CJ212.jcl:1	RESTART=STEP020 is the point of CJ212, which exists to carry the JOB statement's RESTART parameter.
R058	*	R058 is off by default; RuleEvaluationReportTest forces it on. Its 105 findings here are the SCHEMA.TABLE spelling every Db2 statement of this folder uses, which is the folder's house style and not a defect. Accepted wholesale as in corpus/baseline.tsv.
S004	sql/CSQ208.cbl:91	rule limit: C2 is declared for the prepared statement S1, whose text (built at lines 78-80) already ends FOR FETCH ONLY; FOR READ ONLY cannot be written on a DECLARE CURSOR FOR a statement name, so this form can never satisfy S004.
S004	sql/CSQ306.cbl:108	rule limit: C2 is declared for the prepared statement S2, whose text (built at lines 85-87) already ends FOR FETCH ONLY; the same dynamic-cursor form S004 cannot read.
